key,message,comment,context
"Motivo","Motivo","",""
"Firma","Firma","",""
"Firmante","Firmante","",""
"Documento a firmar","Documento a firmar","",""
"Documento firmado","Documento firmado","",""
"Fecha de la solicitud","Fecha de la solicitud","",""
"Fecha de la resolución","Fecha de la resolución","",""
"Estado","Estado","",""
"Motivo firma","Motivo firma","",""
"Motivo rechazo","Motivo rechazo","",""
"FQCN donde notificar","FQCN donde notificar","",""
"FQCN del datos de vuelta","FQCN del datos de vuelta","",""
"Datos de vuelta","Datos de vuelta","",""
"X","X","",""
"Y","Y","",""
"Ancho","Ancho","",""
"Alto","Alto","",""
"Pendiente de firmar","Pendiente de firmar","",""
"Firmado","Firmado","",""
"Rechazada la firma","Rechazada la firma","",""
"Firmar el documento","Firmar el documento","",""
"Rechazar la firma del documento","Rechazar la firma del documento","",""
"Firma rápida","Firma rápida","",""
"Motivo del rechazo de la firma del documento","Motivo del rechazo de la firma del documento","",""
"Documentos firma","Documentos firma","",""
"Motivo del rechazo de la firma de los documentos","Motivo del rechazo de la firma de los documentos","",""
"Página","Página","",""
"Tarea de firma","Tarea de firma","",""
"Documento original a firmar","Documento original a firmar","",""
"Tarea firma","Tarea firma","",""
"Nombre del archivo","Nombre del archivo","",""
"Clave de firma","Clave de firma","",""
"Situación de firma","Situación de firma","",""
"Sin DNI","Sin DNI","",""
"Sin certificado digital","Sin certificado digital","",""
"Dispositivo criptográfico con PIN guardado","Dispositivo criptográfico con PIN guardado","",""
"Dispositivo criptográfico sin PIN guardado","Dispositivo criptográfico sin PIN guardado","",""
"Fichero con contraseña guardada","Fichero con contraseña guardada","",""
"Fichero sin contraseña guardada","Fichero sin contraseña guardada","",""
